machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,failure_binary,failure_type
M,298.1,308.6,1551,42.8,0,0,no_failure
L,298.2,308.7,1408,46.3,3,0,no_failure
L,298.1,308.5,1498,49.4,5,0,no_failure
M,298.2,308.6,1433,39.5,7,0,no_failure
L,298.2,308.7,1408,40.0,9,0,no_failure
M,298.6,309.2,1425,41.9,11,0,no_failure
H,299.0,310.1,1600,35.2,20,0,no_failure
L,299.8,312.8,1180,63.5,218,1,overstrain_failure
M,300.2,313.9,1220,61.7,230,1,heat_dissipation_failure
H,297.5,306.9,2860,4.9,145,1,power_failure
L,298.8,309.6,1320,57.9,240,1,tool_wear_failure
M,297.9,308.3,1510,38.2,70,0,no_failure
H,298.5,309.1,1528,36.9,84,0,no_failure
L,299.4,310.2,1450,45.8,99,0,no_failure
M,300.1,311.4,1372,52.6,178,0,no_failure
L,301.0,314.8,1211,65.1,210,1,overstrain_failure
H,297.3,306.8,2790,5.5,165,1,power_failure
M,298.9,313.0,1295,59.8,222,1,heat_dissipation_failure
L,298.0,308.1,1505,41.1,130,0,no_failure
M,299.1,309.8,1478,44.3,155,0,no_failure
H,298.7,309.4,1564,39.4,160,0,no_failure
L,300.4,314.2,1208,62.8,235,1,overstrain_failure
M,297.7,308.0,1412,48.1,188,0,no_failure
H,298.3,309.0,1518,37.5,190,0,no_failure
L,301.2,314.7,1256,60.2,225,1,tool_wear_failure
