machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,failure_binary,failure_type,sensor_aux_001,sensor_aux_002,sensor_aux_003,sensor_aux_004,sensor_aux_005,sensor_aux_006,sensor_aux_007,sensor_aux_008,sensor_aux_009,sensor_aux_010,sensor_aux_011,sensor_aux_012,sensor_aux_013,sensor_aux_014,sensor_aux_015,sensor_aux_016,sensor_aux_017,sensor_aux_018,sensor_aux_019,sensor_aux_020,sensor_aux_021,sensor_aux_022,sensor_aux_023,sensor_aux_024,sensor_aux_025,sensor_aux_026,sensor_aux_027,sensor_aux_028,sensor_aux_029,sensor_aux_030,sensor_aux_031,sensor_aux_032,sensor_aux_033,sensor_aux_034,sensor_aux_035,sensor_aux_036,sensor_aux_037,sensor_aux_038,sensor_aux_039,sensor_aux_040,sensor_aux_041,sensor_aux_042,sensor_aux_043,sensor_aux_044,sensor_aux_045,sensor_aux_046,sensor_aux_047,sensor_aux_048,sensor_aux_049,sensor_aux_050,sensor_aux_051,sensor_aux_052,sensor_aux_053,sensor_aux_054,sensor_aux_055,sensor_aux_056,sensor_aux_057,sensor_aux_058,sensor_aux_059,sensor_aux_060,sensor_aux_061,sensor_aux_062,sensor_aux_063,sensor_aux_064,sensor_aux_065,sensor_aux_066,sensor_aux_067,sensor_aux_068,sensor_aux_069,sensor_aux_070,sensor_aux_071,sensor_aux_072,sensor_aux_073,sensor_aux_074,sensor_aux_075,sensor_aux_076,sensor_aux_077,sensor_aux_078,sensor_aux_079,sensor_aux_080,sensor_aux_081,sensor_aux_082,sensor_aux_083,sensor_aux_084,sensor_aux_085,sensor_aux_086,sensor_aux_087,sensor_aux_088,sensor_aux_089,sensor_aux_090,sensor_aux_091,sensor_aux_092,sensor_aux_093,sensor_aux_094,sensor_aux_095,sensor_aux_096,sensor_aux_097,sensor_aux_098,sensor_aux_099,sensor_aux_100,sensor_aux_101,sensor_aux_102
MCH-001,L,299.11,307.67,1570,31.83,102,0,no_failure,54.827,39.954,51.723,66.203,44.773,69.372,73.477,55.906,61.545,77.206,70.834,46.924,67.297,57.677,65.945,62.152,50.141,52.956,46.022,64.454,54.63,55.89,38.132,54.504,65.063,47.969,63.457,73.463,72.024,61.748,65.29,72.388,57.945,36.072,59.793,41.257,44.755,57.979,54.118,67.705,59.1,55.813,38.41,56.667,56.332,60.34,62.27,54.228,56.438,65.109,40.083,54.153,41.185,58.455,46.721,45.748,62.515,45.8,63.634,46.01,51.746,73.996,40.378,62.415,46.111,67.712,54.471,23.033,38.995,46.141,56.914,63.062,56.745,51.975,55.463,63.075,47.535,45.086,64.517,57.505,61.708,60.288,77.873,76.225,44.145,55.459,45.309,60.265,53.597,46.447,68.116,71.225,64.005,43.868,65.864,55.31,51.354,53.347,78.42,65.146,79.639,43.381
MCH-002,L,301.77,313.15,1620,49.06,165,0,no_failure,47.586,68.575,49.759,57.026,54.848,57.257,63.53,49.62,47.137,59.08,59.918,61.638,46.368,40.726,61.205,73.565,62.176,47.273,48.602,52.358,51.282,58.536,59.884,59.421,47.079,53.835,59.018,56.594,31.698,71.247,64.12,63.004,76.928,71.101,50.907,60.201,48.905,48.099,24.497,53.257,63.102,56.664,62.434,65.602,55.239,69.675,56.998,67.028,42.562,65.234,54.689,47.903,57.576,33.4,44.548,51.255,77.21,36.908,60.703,75.055,50.063,70.018,44.391,48.567,45.212,60.813,57.092,71.772,48.232,27.549,54.163,55.485,40.411,67.626,51.278,49.891,50.72,61.845,69.947,61.773,68.712,54.177,62.21,60.907,53.708,65.31,48.09,59.955,59.127,69.053,55.53,53.11,58.066,45.015,60.191,65.512,61.787,40.941,64.477,82.211,68.456,67.202
MCH-003,M,296.2,309.82,1254,61.37,239,1,overstrain_failure,70.125,48.217,70.767,53.191,51.116,61.215,55.667,81.352,71.163,64.497,63.504,57.537,86.028,60.321,69.638,82.658,64.243,60.818,68.586,68.636,64.695,62.061,73.614,41.65,71.545,67.485,62.68,79.628,76.485,63.695,70.071,71.406,76.349,28.566,42.429,51.562,55.466,69.751,75.492,53.938,61.819,51.563,59.699,39.5,77.76,71.773,58.196,77.589,80.685,46.309,48.239,66.985,45.476,72.601,52.022,47.122,58.29,43.183,40.887,66.384,49.53,65.039,65.671,53.665,78.248,76.666,67.388,59.271,50.177,60.176,49.313,46.198,61.631,56.016,58.238,46.022,49.809,71.359,90.28,68.584,51.674,73.169,56.736,63.61,43.662,47.897,51.309,63.91,78.006,63.224,59.29,77.373,59.609,64.569,69.975,59.894,64.432,77.319,45.707,63.755,81.674,48.852
MCH-004,M,296.15,306.4,1478,31.26,27,0,no_failure,56.22,47.023,42.549,47.543,59.577,53.503,55.555,73.927,64.358,59.915,66.39,58.008,63.907,51.481,55.003,44.311,65.324,52.047,39.143,60.402,67.756,54.747,49.062,66.606,59.464,80.069,43.295,78.366,67.853,60.526,59.855,66.798,75.411,50.033,47.115,49.833,67.244,57.445,74.715,56.397,52.392,62.592,46.208,85.58,51.606,75.61,62.597,66.993,77.928,71.059,47.572,29.604,39.545,62.727,44.867,58.604,59.396,46.655,58.715,69.015,54.985,55.923,69.159,54.009,63.284,65.105,65.326,45.193,33.756,60.054,56.755,65.351,41.613,58.762,45.87,46.393,59.233,60.604,50.513,68.684,64.86,70.169,72.693,37.938,47.768,58.742,59.745,46.27,58.176,57.772,68.679,57.223,51.094,44.572,58.881,68.9,73.735,43.412,61.517,67.871,67.175,49.24
MCH-005,M,298.51,308.63,1581,43.1,186,0,no_failure,55.108,52.491,65.695,46.852,49.122,50.899,36.601,59.445,51.375,48.738,58.203,60.948,55.057,60.016,55.602,74.878,58.166,43.08,35.97,61.296,51.719,45.985,45.368,49.545,55.524,54.885,65.589,53.38,66.692,61.18,63.045,69.554,65.562,53.557,61.185,30.353,42.833,71.591,69.148,54.344,47.752,62.577,66.688,60.344,53.666,52.241,57.134,52.353,62.934,78.863,52.71,48.524,50.897,57.159,36.743,62.98,61.454,63.872,69.365,63.977,62.886,52.467,58.787,76.87,63.178,53.814,64.535,66.212,62.818,49.978,69.263,66.158,43.973,56.705,65.279,58,57,63.571,75.944,74.784,57.139,70.38,80.395,58.221,35.211,65.317,50.164,69.951,47.875,60.208,63.763,57.85,61.217,61.157,41.107,47.081,65.265,66.242,48.068,60.266,65.767,56.125
MCH-006,L,298.14,307.53,1514,47.36,104,0,no_failure,53.362,64.5,47.366,37.834,45.428,68.049,54.481,50.26,43.117,59.579,66.319,58.571,64.965,62.588,61.112,64.433,39.855,63.092,46.34,46.548,66.654,71.766,51.502,69.973,53.957,48.874,59.336,68.492,57.201,70.802,49.875,82.532,58.103,44.897,60.638,63.987,26.825,43.596,51.435,66.321,43.486,53.674,64.398,70.105,61.536,59.433,74.784,62.452,51.396,57.235,53.295,60.427,40.343,61.604,35.36,37.395,46.987,51.255,69.63,79.346,53.351,69.697,55.945,56.478,58.794,66.809,70.847,51.126,53.106,62.898,52.836,53.216,55.188,43.868,40.821,59.776,52.367,56.492,81.636,64.836,55.947,59.134,62.26,80.622,47.321,48.703,41.823,43.171,44.706,54.379,36.653,59.035,62.157,66.444,49.73,55.841,63.981,59.992,74.501,63.915,73.708,44.606
MCH-007,M,302.31,313.43,1568,44.91,89,0,no_failure,63.074,57.831,52.771,55.06,45.275,62.105,66.603,60.597,60.475,56.548,64.741,84.898,64.519,52.206,60.612,75.126,49.3,52.933,34.832,64.883,54.988,53.386,56.129,45.021,68.733,47.723,59.987,67.403,62.679,67.183,89.21,77.696,67.253,69.798,47.41,55.206,58.205,54.164,46.357,59.655,66.053,65.894,62.159,43.267,65.495,56.788,57.374,58.027,74.04,64.714,43.875,60.994,51.403,44.463,38.038,37.819,56.104,71.153,52.776,67.301,59.383,71.239,64.933,97.13,65.955,58.459,69.149,40.672,51.202,51.899,47.243,42.38,36.365,69.935,59.229,45.465,68.516,57.573,54.467,64.15,62.619,78.717,67.235,66.522,62.67,37.114,39.497,51.523,58.041,55.173,64.751,56.956,44.056,71.548,48.188,65.651,83.151,71.41,80.735,68.315,65.339,56.699
MCH-008,H,297.05,310.79,1274,65.2,250,1,overstrain_failure,37.667,45.876,60.542,57.921,55.831,60.643,51.522,78.382,83.687,60.867,51.514,66.259,67.316,49.408,54.933,70.67,31.116,35.541,55.32,69.209,53.104,53.963,73.126,51.994,59.602,63.329,51.571,55.311,74.665,57.597,80.323,80.283,61.157,83.802,61.89,56.936,64.431,46.139,65.412,66.741,54.087,66.83,71.382,59.047,67.106,65.055,85.444,63.905,55.509,91.431,61.583,35.547,67.057,60.975,52.442,78.492,57.394,60.792,70.154,70.78,68.32,85.584,63.703,65.912,70.811,86.126,62.851,55.612,49.284,58.179,63.738,62.412,56.748,65.816,48.597,56.624,66.989,77.595,67.747,69.265,46.567,76.173,71.01,71.017,58.026,62.111,48.173,54.438,58.583,52.38,53.806,55.984,56.48,82.964,66.25,66.435,62.088,83.329,66.586,64.074,70.18,53.035
MCH-009,L,302.27,312.78,1514,44.32,74,0,no_failure,50.867,51.193,68.368,58.652,52.802,59.686,59.121,67.735,56.661,51.481,52.945,73.444,69.343,46.97,67.616,77.959,49.884,41.07,48.675,59.13,38.979,42.526,58.585,58.12,46.438,57.227,63.767,57.726,66.434,58.847,81.023,68.617,76.718,62.84,40.898,52.931,48.498,75.135,61.435,66.629,51.554,61.618,50.989,68.153,68.149,63.2,54.391,71.103,50.783,64.285,41.246,43.373,46.278,71.301,47.224,69.817,58.292,62.182,46.335,59.271,58.361,58.407,44.796,46.242,75.852,56.353,74.221,59.956,46.936,56.153,32.446,61.198,47.284,69.648,53.966,40.692,59.842,58.889,42.375,53.655,54.573,78.619,71.369,63.373,49.343,28.286,45.809,58.906,64.791,49.029,53.587,55.397,59.238,63.437,67.269,59.124,54.552,52.991,61.671,68.209,72.13,44.722
MCH-010,L,298.53,309.36,1520,43.97,189,0,no_failure,35.036,62.368,44.145,52.375,59.156,42.987,60.44,50.515,48.296,60.058,61.268,62.824,79.217,66.36,54.968,59.91,45.503,51.3,48.497,45.569,52.629,54.403,42.366,48.36,45.476,55.625,60.181,76.351,66.391,70.868,68.757,68.635,65.069,34.343,49.637,62.536,54.604,53.876,45.771,55.876,62.763,41.34,61.612,64.373,59.491,63.918,63.671,70.507,77.219,60.362,52.026,69.865,45.399,67.416,44.79,58.848,52.981,48.424,55.538,59.618,60.808,62.293,67.607,55.855,60.843,73.382,70.23,54.027,45.704,45.651,51.549,42.51,62.226,50.187,56.904,71.132,68.259,68.616,61.45,68.443,70.617,54.1,55.266,50.8,49.019,49.878,35.411,38.385,52.241,39.968,52.55,66.635,46.381,53.06,69.702,51.503,46.836,73.677,68.823,69.827,58.61,51.801
